,Opt Action,Opt Value
0,6,413.497944108
1,3,410.790908056
2,3,108.716941749
3,0,0.0
4,3,64.7876886102
5,0,0.0
6,0,149.280620097
7,6,163.218006059
8,6,89.8657928234
9,0,0.0
10,3,140.947401376
11,0,0.0
12,6,159.476153616
13,4,165.075625975
14,0,0.0
15,0,0.0
16,3,40.6463063505
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,3,44.9328964117
22,0,0.0
23,0,0.0
24,6,74.4789478932
25,0,0.0
26,3,105.414891613
27,3,64.1927390547
28,0,0.0
29,3,89.8657928234
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,3,42.3029155777
36,0,0.0
37,6,44.9328964117
38,6,20.1896517995
39,0,0.0
40,0,0.0
41,0,20.1896517995
42,0,0.0
43,0,0.0
44,0,0.0
45,0,36.7879441171
46,0,0.0
47,3,97.9584591002
48,0,0.0
49,0,0.0
50,4,91.658382474
51,4,41.8309057277
52,0,0.0
53,0,0.0
54,6,60.2388423824
55,0,0.0
56,0,0.0
57,6,30.1194211912
58,0,0.0
59,3,40.3793035989
60,0,0.0
61,0,0.0
62,4,186.343205447
63,0,0.0
64,0,0.0
65,0,172.033618124
66,0,36.7879441171
67,0,0.0
68,0,0.0
69,0,0.0
70,0,0.0
71,6,49.3193927883
72,0,0.0
73,3,61.942401099
74,3,40.3299144045
75,0,0.0
76,0,0.0
77,0,73.5758882343
78,0,0.0
79,6,40.3793035989
80,0,0.0
81,6,44.9328964117
82,6,36.7879441171
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,6,16.5298888222
88,1,165.108585435
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,30.1194211912
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,6,24.6596963942
101,0,0.0
102,0,54.8811636094
103,3,30.1194211912
104,0,0.0
105,3,174.401220247
106,6,74.6196007771
107,0,0.0
108,3,54.4140736744
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,3,109.264913859
114,0,0.0
115,0,0.0
116,0,0.0
117,3,73.4091751611
118,0,60.2388423824
119,0,60.2388423824
120,0,27.0670566473
121,0,0.0
122,0,0.0
123,0,0.0
124,3,73.5758882343
125,0,0.0
126,6,44.9328964117
127,0,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,6,184.62997078
136,0,0.0
137,0,0.0
138,6,92.6751421268
139,6,73.9790891825
140,0,0.0
141,0,179.731585647
142,0,0.0
143,0,0.0
144,0,16.5298888222
145,0,13.5335283237
146,0,0.0
147,0,0.0
148,0,24.6596963942
149,0,24.6596963942
150,0,0.0
151,0,71.0809853934
152,6,98.6387855766
153,6,80.7586071979
154,0,0.0
155,6,90.3582635737
156,0,0.0
157,3,30.1194211912
158,4,93.8202660094
159,0,0.0
160,0,0.0
161,0,0.0
162,4,161.243772729
163,0,0.0
164,3,136.752293427
165,4,94.3475908838
166,0,0.0
167,0,0.0
168,0,0.0
169,0,100.948258997
170,0,0.0
171,0,0.0
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,3,93.2439566219
178,0,0.0
179,0,0.0
180,3,49.299668417
181,0,0.0
182,3,36.7879441171
183,0,0.0
184,0,0.0
185,0,0.0
