,Opt Action,Opt Value
0,6,432.844673578
1,3,428.016197515
2,3,104.408005037
3,6,60.2388423824
4,0,0.0
5,0,0.0
6,0,165.974894037
7,3,164.521487978
8,6,44.9328964117
9,0,0.0
10,3,139.612928136
11,0,0.0
12,6,171.465133958
13,4,168.47240922
14,0,0.0
15,0,0.0
16,6,40.3793035989
17,0,0.0
18,0,40.3793035989
19,0,0.0
20,0,36.7879441171
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,6,30.1194211912
27,6,20.1896517995
28,3,20.1896517995
29,0,0.0
30,0,95.0034953376
31,3,47.3314849334
32,0,0.0
33,6,49.3193927883
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,3,73.5758882343
40,0,0.0
41,0,0.0
42,3,60.2942662583
43,3,60.10214264
44,0,0.0
45,0,0.0
46,4,124.97204704
47,0,0.0
48,0,0.0
49,0,0.0
50,0,30.1194211912
51,0,0.0
52,0,0.0
53,0,0.0
54,6,93.4614766661
55,0,0.0
56,0,0.0
57,0,60.2388423824
58,0,0.0
59,0,0.0
60,3,73.084571768
61,6,40.9153181878
62,0,0.0
63,0,0.0
64,3,42.079037645
65,0,0.0
66,0,0.0
67,0,0.0
68,0,0.0
69,3,41.6933543387
70,0,0.0
71,6,24.6596963942
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,3,91.5340401941
81,0,0.0
82,0,0.0
83,0,0.0
84,0,0.0
85,0,98.4677484933
86,3,47.8496781694
87,0,0.0
88,3,24.6596963942
89,0,0.0
90,6,20.1896517995
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,4,198.763533821
97,0,0.0
98,0,0.0
99,0,110.363832351
100,0,0.0
101,0,0.0
102,3,92.2605428068
103,0,0.0
104,6,95.1625884262
105,0,0.0
106,1,169.294436897
107,0,0.0
108,0,0.0
109,0,0.0
110,0,109.762327219
111,0,0.0
112,0,0.0
113,3,60.2388423824
114,0,27.0670566473
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,4,195.569536248
121,3,167.394153912
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,0,49.3193927883
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,4,177.807986691
133,3,164.643490828
134,3,164.643490828
135,0,0.0
136,0,110.363832351
137,3,110.363832351
138,0,90.3582635737
139,0,0.0
140,3,90.3582635737
141,0,40.600584971
142,0,40.600584971
143,0,0.0
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,0,0.0
149,3,218.686905621
150,0,0.0
151,0,0.0
152,0,0.0
153,3,95.3534853223
154,0,0.0
155,0,0.0
156,3,73.5758882343
157,0,0.0
158,0,0.0
159,3,219.524654438
160,0,0.0
161,0,0.0
162,0,30.1194211912
163,0,0.0
164,3,110.363832351
165,0,0.0
166,0,0.0
167,0,0.0
168,0,0.0
169,0,0.0
170,6,40.3793035989
171,0,0.0
172,0,0.0
173,0,24.6596963942
174,0,13.5335283237
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,3,173.558952329
180,0,0.0
181,0,0.0
182,0,0.0
183,0,0.0
184,0,0.0
185,0,109.762327219
186,0,0.0
187,0,0.0
188,0,0.0
189,0,0.0
190,0,0.0
191,3,90.3582635737
192,4,173.155420621
193,0,0.0
194,0,73.9790891825
195,0,73.9790891825
196,0,40.600584971
197,0,0.0
198,3,110.363832351
199,0,0.0
200,6,24.6596963942
201,0,49.5896664665
202,0,0.0
203,0,0.0
204,3,169.635591249
205,0,0.0
206,0,0.0
207,0,0.0
208,4,91.8897595664
209,0,0.0
210,0,0.0
211,0,0.0
212,0,0.0
213,0,0.0
214,0,0.0
215,6,59.4328052602
216,0,33.0597776443
217,0,0.0
218,0,0.0
219,0,49.3193927883
220,0,0.0
221,3,92.6171574921
222,0,0.0
223,6,74.8065957729
224,0,0.0
225,3,120.477684765
226,0,120.477684765
227,0,0.0
228,3,54.7519653341
229,3,54.8811636094
230,0,0.0
231,0,0.0
232,0,0.0
233,0,0.0
234,0,0.0
235,0,0.0
236,0,0.0
237,0,0.0
238,0,0.0
239,0,0.0
240,0,54.1341132946
241,0,54.1341132946
242,0,0.0
243,0,49.5896664665
244,0,0.0
245,0,0.0
246,0,0.0
247,0,36.7879441171
248,0,16.5298888222
249,0,13.5335283237
250,0,13.5335283237
251,0,0.0
252,0,0.0
253,0,0.0
254,0,0.0
255,0,0.0
256,0,0.0
257,0,0.0
258,0,168.586435655
259,0,0.0
260,0,0.0
261,0,0.0
262,0,0.0
263,0,0.0
264,4,165.487816422
265,0,0.0
266,0,0.0
267,3,44.9328964117
268,0,0.0
269,0,0.0
270,6,89.8657928234
271,0,0.0
272,0,33.0597776443
273,0,30.1194211912
274,0,0.0
275,3,136.217622806
276,3,27.0670566473
277,0,0.0
278,0,0.0
279,6,49.3193927883
280,6,98.6387855766
281,6,80.7586071979
282,0,0.0
283,0,0.0
284,6,134.798689235
285,6,60.5689553984
286,0,0.0
287,0,0.0
288,3,75.1882897367
289,0,0.0
290,6,157.541222596
291,3,75.7009181065
292,6,73.645850042
293,0,20.1896517995
294,0,16.5298888222
295,6,40.3793035989
296,6,33.0597776443
297,0,0.0
298,4,159.069622649
299,0,0.0
300,0,49.5896664665
301,0,0.0
302,0,0.0
303,3,40.600584971
304,6,98.6387855766
305,0,0.0
306,0,0.0
307,0,0.0
308,0,0.0
309,0,27.0670566473
310,6,90.3582635737
311,0,75.4170856625
312,3,60.5689553984
313,0,0.0
314,6,158.122956538
315,0,0.0
316,0,0.0
317,0,0.0
318,0,0.0
319,3,89.8657928234
320,6,89.8657928234
321,0,0.0
322,3,103.258577519
323,0,0.0
324,0,0.0
325,4,39.7522145388
326,0,0.0
327,0,0.0
328,0,98.6387855766
329,0,0.0
330,0,0.0
331,0,0.0
332,0,0.0
333,0,0.0
334,0,16.5298888222
335,0,73.5758882343
336,0,0.0
337,0,0.0
338,0,0.0
339,3,51.0848322896
340,6,73.5758882343
341,0,0.0
342,0,90.3582635737
343,0,0.0
344,0,0.0
345,0,0.0
346,0,0.0
347,0,95.795148487
348,3,50.3173974209
349,0,0.0
350,0,0.0
351,0,0.0
352,0,0.0
353,0,92.2217030801
354,0,0.0
355,0,0.0
356,0,0.0
357,0,30.1194211912
358,0,0.0
359,0,0.0
360,0,0.0
361,0,0.0
362,0,0.0
363,0,0.0
364,0,0.0
365,6,49.5896664665
366,0,60.2388423824
367,0,0.0
368,0,0.0
369,0,0.0
370,0,0.0
371,0,24.6596963942
372,0,0.0
373,0,0.0
374,0,0.0
375,6,54.8811636094
376,0,0.0
377,0,0.0
378,0,0.0
379,0,80.7586071979
380,0,0.0
381,0,40.3793035989
382,0,0.0
383,0,0.0
384,0,0.0
385,0,0.0
386,0,0.0
387,3,13.5335283237
388,0,0.0
389,0,0.0
390,0,0.0
391,0,0.0
392,0,49.5896664665
393,0,0.0
394,0,0.0
395,6,110.363832351
396,0,0.0
397,4,203.025837394
398,0,0.0
399,6,73.9790891825
400,0,0.0
401,0,0.0
402,0,0.0
403,0,0.0
404,6,175.942553924
405,6,134.798689235
406,3,134.798689235
407,0,0.0
408,0,0.0
409,0,36.3650941848
410,3,16.5298888222
411,0,36.7879441171
412,0,16.5298888222
413,0,0.0
414,0,0.0
415,0,173.338521603
416,0,0.0
417,0,0.0
418,0,0.0
419,0,49.5896664665
420,0,0.0
421,0,60.2388423824
422,0,0.0
423,3,73.4383929162
424,0,30.1194211912
425,0,0.0
426,6,60.5689553984
427,0,0.0
428,0,0.0
429,0,0.0
430,0,0.0
431,0,0.0
432,0,0.0
433,0,0.0
434,0,0.0
435,3,58.9387350668
436,0,0.0
437,0,0.0
438,0,0.0
439,0,0.0
440,0,0.0
441,0,33.0597776443
442,0,0.0
443,0,0.0
444,0,0.0
445,6,44.9328964117
446,0,0.0
447,3,98.6387855766
448,0,0.0
449,0,0.0
450,0,0.0
451,0,0.0
452,0,0.0
453,0,0.0
454,0,0.0
455,6,24.6596963942
456,0,0.0
457,6,173.239335731
458,0,0.0
459,0,0.0
460,6,90.3582635737
461,0,0.0
462,0,0.0
463,0,0.0
464,0,0.0
465,3,134.183170106
466,0,0.0
467,0,0.0
468,0,144.197542674
469,6,62.697116997
470,0,0.0
471,0,0.0
472,0,0.0
473,0,0.0
474,6,89.9512443684
475,3,60.3541718686
476,0,0.0
477,0,0.0
478,6,44.9328964117
479,0,0.0
480,0,0.0
481,0,0.0
482,0,0.0
483,0,0.0
484,0,0.0
485,0,0.0
486,0,0.0
487,0,0.0
488,6,73.9790891825
489,0,33.0597776443
490,0,36.7879441171
491,6,76.7426758473
492,3,59.8775289669
493,0,0.0
494,0,0.0
495,4,41.6250353222
496,0,0.0
497,0,0.0
498,6,109.762327219
499,6,36.7879441171
500,0,0.0
501,0,36.7879441171
502,0,0.0
503,0,0.0
504,6,73.9790891825
505,0,0.0
506,0,0.0
507,0,0.0
508,0,0.0
509,0,0.0
510,0,0.0
511,0,0.0
512,3,60.9727484344
513,0,0.0
514,0,0.0
515,0,0.0
516,0,0.0
517,0,0.0
518,0,0.0
519,3,33.0597776443
520,3,144.031476169
521,0,0.0
522,0,0.0
523,0,0.0
524,0,0.0
525,0,0.0
526,0,0.0
527,0,0.0
528,0,16.5298888222
