0,1,2
1,2,1
2,3,0
3,4,1
4,5,0
5,6,1
6,7,0
7,8,1
8,9,4
9,10,3
10,11,0
0,12,0
12,24,1
24,36,0
36,48,4
12,13,0
13,14,1
14,15,2
15,16,3
16,17,1
17,18,1
18,19,0
19,20,0
20,21,0
21,22,0
22,23,1
1,13,1
13,25,2
25,37,4
37,49,3
24,25,0
25,26,1
26,27,3
27,28,2
28,29,1
29,30,4
30,31,2
31,32,5
32,33,4
33,34,0
34,35,1
2,14,3
14,26,2
26,38,1
38,50,1
36,37,4
37,38,2
38,39,0
39,40,0
40,41,2
41,42,4
42,43,5
43,44,1
44,45,4
45,46,1
46,47,1
3,15,4
15,27,0
27,39,0
39,51,0
48,49,5
49,50,3
50,51,0
51,52,0
52,53,0
53,54,0
54,55,4
55,56,0
56,57,0
57,58,0
58,59,1
4,16,1
16,28,0
28,40,3
40,52,0
5,17,0
17,29,1
29,41,2
41,53,0
6,18,4
18,30,3
30,42,1
42,54,3
7,19,0
19,31,0
31,43,2
43,55,0
8,20,0
20,32,3
32,44,3
44,56,0
9,21,2
21,33,0
33,45,0
45,57,0
10,22,0
22,34,0
34,46,2
46,58,0
11,23,5
23,35,4
35,47,5
47,59,2
