,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(0, 0)",5.0,1,0.0,6,6.0,0,0.0,1.0,0.818730753078,0.75
"(0, 1)",5.0,3,2.0,3,3.0,0,0.0,1.0,0.818730753078,1.0
"(0, 5)",5.0,3,2.0,3,3.0,0,0.0,1.0,0.818730753078,1.0
"(0, 6)",22.5,1,1.0,3,3.0,0,0.0,1.0,0.818730753078,0.75
"(1, 1)",2.5,3,3.0,3,3.0,1,0.0,1.0,0.818730753078,1.0
"(1, 2)",2.5,3,3.0,3,3.0,1,0.0,1.0,0.818730753078,1.0
"(1, 3)",32.5,2,3.0,3,3.0,1,0.0,1.0,0.818730753078,0.75
"(1, 5)",2.5,3,4.0,3,3.0,1,0.0,1.0,0.818730753078,1.0
"(1, 6)",32.5,1,4.0,3,3.0,1,0.0,1.0,0.818730753078,0.75
"(2, 1)",0.0,3,0.0,3,3.0,4,3.0,1.0,0.818730753078,0.0
"(2, 3)",21.0,2,2.0,3,2.0,4,3.0,1.0,0.818730753078,0.75
"(2, 4)",21.0,1,2.0,3,2.0,4,3.0,1.0,0.818730753078,0.75
"(2, 5)",0.0,3,0.0,3,3.0,4,3.0,1.0,0.818730753078,0.0
"(2, 6)",21.0,1,4.0,0,0.0,4,3.0,1.0,0.818730753078,0.75
"(3, 1)",20.0,3,0.0,3,2.0,6,5.0,1.0,0.818730753078,0.0
"(3, 4)",20.0,1,0.0,3,2.0,6,5.0,1.0,0.818730753078,0.0
"(3, 5)",10.0,3,2.0,0,0.0,6,5.0,2.0,0.670320046036,0.0
"(3, 6)",10.0,1,2.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(6, 0)",0.0,1,0.0,3,3.0,3,2.0,1.0,0.818730753078,0.75
"(6, 2)",0.0,3,0.0,3,3.0,3,2.0,1.0,0.818730753078,0.75
"(6, 4)",24.0,1,3.0,0,0.0,3,2.0,1.0,0.818730753078,0.75
"(6, 5)",0.0,3,0.0,3,3.0,3,2.0,1.0,0.818730753078,0.0
"(6, 6)",24.0,1,3.0,0,0.0,3,2.0,1.0,0.818730753078,0.75
"(7, 2)",0.0,3,0.0,3,3.0,4,2.0,1.0,0.818730753078,0.0
"(7, 3)",24.0,2,2.0,0,0.0,4,2.0,1.0,0.818730753078,0.75
"(7, 4)",24.0,1,3.0,3,1.0,4,2.0,1.0,0.818730753078,0.75
"(7, 5)",0.0,3,0.0,3,3.0,4,2.0,1.0,0.818730753078,0.0
"(7, 6)",24.0,1,3.0,0,0.0,4,2.0,1.0,0.818730753078,0.75
"(9, 4)",20.0,1,0.0,3,2.0,9,5.0,2.0,0.670320046036,0.0
"(9, 5)",10.0,3,2.0,0,0.0,9,5.0,1.0,0.818730753078,0.0
"(9, 6)",10.0,1,2.0,0,0.0,9,5.0,2.0,0.670320046036,0.0
"(10, 5)",10.0,3,2.0,0,0.0,10,5.0,1.0,0.818730753078,0.0
"(10, 6)",10.0,1,2.0,0,0.0,10,5.0,2.0,0.670320046036,0.0
"(12, 0)",0.0,1,0.0,3,3.0,6,2.0,1.0,0.818730753078,0.0
"(12, 3)",24.0,2,3.0,3,2.0,6,2.0,2.0,0.670320046036,0.75
"(12, 4)",24.0,1,3.0,3,1.0,6,2.0,2.0,0.670320046036,0.75
"(12, 5)",0.0,3,0.0,3,3.0,6,2.0,1.0,0.818730753078,0.0
"(12, 6)",24.0,1,4.0,0,0.0,6,2.0,1.0,0.818730753078,0.75
"(13, 0)",10.0,1,0.0,3,1.0,7,5.0,1.0,0.818730753078,0.0
"(13, 3)",10.0,2,0.0,3,1.0,7,5.0,1.0,0.818730753078,0.0
"(13, 5)",5.0,3,1.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(13, 6)",5.0,1,1.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(15, 0)",0.0,1,0.0,3,3.0,1,1.0,1.0,0.818730753078,0.75
"(15, 1)",17.0,3,3.0,0,0.0,1,1.0,1.0,0.818730753078,1.0
"(15, 3)",0.0,2,0.0,3,3.0,1,1.0,1.0,0.818730753078,0.75
"(15, 4)",17.0,1,3.0,0,0.0,1,1.0,1.0,0.818730753078,1.0
"(15, 5)",17.0,3,2.0,0,0.0,1,1.0,1.0,0.818730753078,1.0
"(22, 2)",0.0,3,0.0,3,3.0,4,3.0,1.0,0.818730753078,0.0
"(22, 3)",21.0,2,2.0,3,2.0,4,3.0,1.0,0.818730753078,0.75
"(22, 4)",21.0,1,2.0,3,1.0,4,3.0,1.0,0.818730753078,0.75
"(22, 5)",0.0,3,0.0,3,3.0,4,3.0,1.0,0.818730753078,0.0
"(22, 6)",21.0,1,3.0,0,0.0,4,3.0,1.0,0.818730753078,0.75
"(23, 2)",20.0,3,0.0,3,2.0,6,5.0,1.0,0.818730753078,0.0
"(23, 4)",20.0,1,0.0,3,2.0,6,5.0,1.0,0.818730753078,0.0
"(23, 5)",10.0,3,2.0,0,0.0,6,5.0,2.0,0.670320046036,0.0
"(23, 6)",10.0,1,2.0,0,0.0,6,5.0,2.0,0.670320046036,0.0
"(25, 0)",20.0,1,0.0,3,2.0,8,5.0,1.0,0.818730753078,0.0
"(25, 4)",20.0,1,0.0,3,2.0,8,5.0,2.0,0.670320046036,0.0
"(25, 5)",10.0,3,2.0,0,0.0,8,5.0,1.0,0.818730753078,0.0
"(25, 6)",10.0,1,2.0,0,0.0,8,5.0,1.0,0.818730753078,0.0
"(26, 0)",20.0,1,0.0,3,2.0,9,5.0,1.0,0.818730753078,0.0
"(26, 5)",10.0,3,2.0,0,0.0,9,5.0,1.0,0.818730753078,0.0
"(26, 6)",10.0,1,2.0,0,0.0,9,5.0,2.0,0.670320046036,0.0
"(28, 1)",0.0,3,0.0,3,3.0,7,3.0,2.0,0.670320046036,0.0
"(28, 3)",21.0,2,3.0,0,0.0,7,3.0,1.0,0.818730753078,0.75
"(28, 4)",21.0,1,5.0,0,0.0,7,3.0,1.0,0.818730753078,0.75
"(28, 6)",21.0,1,3.0,0,0.0,7,3.0,2.0,0.670320046036,0.75
"(29, 3)",21.0,2,4.0,0,0.0,10,3.0,1.0,0.818730753078,0.75
"(29, 4)",21.0,1,3.0,0,0.0,10,3.0,2.0,0.670320046036,0.75
"(29, 6)",21.0,1,1.0,0,0.0,10,3.0,2.0,0.670320046036,0.75
"(32, 0)",10.0,1,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.75
"(32, 2)",10.0,3,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.75
"(32, 3)",10.0,2,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.75
"(32, 5)",10.0,3,2.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(32, 6)",10.0,1,2.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(33, 0)",20.0,1,0.0,3,2.0,7,5.0,2.0,0.670320046036,0.0
"(33, 3)",20.0,2,0.0,3,2.0,7,5.0,2.0,0.670320046036,0.0
"(33, 5)",10.0,3,2.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(33, 6)",10.0,1,2.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(35, 3)",20.0,2,0.0,3,2.0,8,5.0,1.0,0.818730753078,0.0
"(35, 5)",10.0,3,2.0,0,0.0,8,5.0,2.0,0.670320046036,0.0
"(35, 6)",10.0,1,2.0,0,0.0,8,5.0,2.0,0.670320046036,0.0
"(37, 1)",14.5,3,3.0,0,0.0,2,1.0,1.0,0.818730753078,1.0
"(37, 2)",14.5,3,5.0,0,0.0,2,1.0,1.0,0.818730753078,1.0
"(37, 3)",2.5,2,0.0,3,3.0,2,1.0,1.0,0.818730753078,0.0
"(37, 4)",17.0,1,2.0,0,0.0,2,1.0,1.0,0.818730753078,1.0
"(37, 5)",17.0,3,3.0,0,0.0,2,1.0,1.0,0.818730753078,1.0
"(40, 3)",24.0,2,3.0,0,0.0,7,2.0,1.0,0.818730753078,0.75
"(40, 4)",24.0,1,3.0,0,0.0,7,2.0,2.0,0.670320046036,0.75
"(40, 5)",0.0,3,0.0,3,3.0,7,2.0,1.0,0.818730753078,0.0
"(40, 6)",24.0,1,3.0,0,0.0,7,2.0,2.0,0.670320046036,0.75
"(42, 3)",24.0,2,2.0,0,0.0,10,2.0,2.0,0.670320046036,0.75
"(42, 4)",24.0,1,2.0,0,0.0,10,2.0,1.0,0.818730753078,0.75
"(42, 6)",24.0,1,4.0,0,0.0,10,2.0,2.0,0.670320046036,0.75
"(46, 1)",20.0,3,0.0,3,2.0,5,5.0,1.0,0.818730753078,0.0
"(46, 3)",20.0,2,0.0,3,2.0,5,5.0,1.0,0.818730753078,0.0
"(46, 5)",10.0,3,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(46, 6)",10.0,1,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(47, 1)",20.0,3,0.0,3,2.0,7,5.0,1.0,0.818730753078,0.0
"(47, 5)",10.0,3,2.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(47, 6)",10.0,1,2.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(53, 1)",5.5,3,5.0,0,0.0,2,4.0,1.0,0.818730753078,1.0
"(53, 2)",5.5,3,5.0,0,0.0,2,4.0,1.0,0.818730753078,1.0
"(53, 3)",2.5,2,0.0,3,3.0,2,4.0,1.0,0.818730753078,0.0
"(53, 4)",8.0,1,1.0,3,2.0,2,4.0,1.0,0.818730753078,1.0
"(53, 5)",8.0,3,1.0,3,3.0,2,4.0,1.0,0.818730753078,1.0
"(54, 1)",7.5,3,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(54, 2)",7.5,3,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(54, 3)",7.5,2,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(54, 4)",15.0,1,0.0,3,3.0,5,5.0,1.0,0.818730753078,0.0
"(59, 2)",10.0,3,0.0,3,1.0,5,5.0,1.0,0.818730753078,0.0
"(59, 3)",10.0,2,0.0,3,1.0,5,5.0,1.0,0.818730753078,0.0
"(59, 5)",5.0,3,1.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(59, 6)",5.0,1,1.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(60, 3)",10.0,2,0.0,3,1.0,8,5.0,2.0,0.670320046036,0.0
"(60, 5)",5.0,3,1.0,0,0.0,8,5.0,2.0,0.670320046036,0.0
"(60, 6)",5.0,1,1.0,0,0.0,8,5.0,2.0,0.670320046036,0.0
