,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(0, 0)",5.0,1,0.0,6,6.0,0,0.0,1.0,0.818730753078,0.75
"(0, 1)",5.0,3,5.0,3,3.0,0,0.0,1.0,0.818730753078,1.0
"(0, 5)",5.0,3,4.0,3,3.0,0,0.0,1.0,0.818730753078,1.0
"(0, 6)",22.5,1,5.0,3,3.0,0,0.0,1.0,0.818730753078,0.75
"(1, 1)",2.5,3,2.0,3,3.0,1,0.0,1.0,0.818730753078,1.0
"(1, 2)",2.5,3,3.0,3,3.0,1,0.0,1.0,0.818730753078,1.0
"(1, 3)",32.5,2,5.0,3,3.0,1,0.0,1.0,0.818730753078,0.75
"(1, 5)",2.5,3,5.0,3,3.0,1,0.0,1.0,0.818730753078,1.0
"(1, 6)",32.5,1,5.0,3,3.0,1,0.0,1.0,0.818730753078,0.75
"(2, 1)",0.0,3,0.0,3,3.0,4,3.0,1.0,0.818730753078,0.0
"(2, 3)",21.0,2,2.0,3,3.0,4,3.0,2.0,0.670320046036,0.75
"(2, 4)",21.0,1,2.0,3,1.0,4,3.0,1.0,0.818730753078,0.75
"(2, 5)",0.0,3,0.0,3,3.0,4,3.0,1.0,0.818730753078,0.0
"(2, 6)",21.0,1,4.0,0,0.0,4,3.0,1.0,0.818730753078,0.75
"(3, 1)",30.0,3,0.0,3,3.0,6,5.0,1.0,0.818730753078,0.0
"(3, 4)",30.0,1,0.0,3,3.0,6,5.0,1.0,0.818730753078,0.0
"(3, 5)",15.0,3,3.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(3, 6)",15.0,1,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(6, 0)",0.0,1,0.0,3,3.0,3,5.0,2.0,0.670320046036,0.75
"(6, 2)",0.0,3,0.0,3,3.0,3,5.0,1.0,0.818730753078,0.75
"(6, 4)",15.0,1,0.0,3,5.0,3,5.0,1.0,0.818730753078,0.75
"(6, 5)",0.0,3,0.0,3,3.0,3,5.0,1.0,0.818730753078,0.0
"(6, 6)",15.0,1,3.0,0,0.0,3,5.0,1.0,0.818730753078,0.75
"(7, 2)",0.0,3,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.0
"(7, 3)",15.0,2,0.0,3,3.0,4,5.0,2.0,0.670320046036,0.75
"(7, 4)",15.0,1,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.75
"(7, 5)",0.0,3,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.0
"(7, 6)",15.0,1,3.0,0,0.0,4,5.0,1.0,0.818730753078,0.75
"(8, 2)",30.0,3,0.0,3,3.0,6,5.0,1.0,0.818730753078,0.0
"(8, 4)",30.0,1,0.0,3,3.0,6,5.0,1.0,0.818730753078,0.0
"(8, 5)",15.0,3,3.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(8, 6)",15.0,1,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(10, 1)",0.0,3,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.0
"(10, 2)",0.0,3,0.0,3,3.0,4,5.0,2.0,0.670320046036,0.0
"(10, 3)",7.5,2,3.0,0,0.0,4,5.0,2.0,0.670320046036,0.75
"(10, 4)",7.5,1,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.75
"(10, 6)",7.5,1,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.75
"(12, 1)",7.5,3,0.0,3,3.0,3,5.0,1.0,0.818730753078,1.0
"(12, 2)",7.5,3,0.0,3,3.0,3,5.0,1.0,0.818730753078,1.0
"(12, 4)",7.5,1,0.0,3,2.0,3,5.0,1.0,0.818730753078,1.0
"(12, 5)",0.0,3,1.0,0,0.0,3,5.0,1.0,0.818730753078,1.0
"(12, 6)",7.5,1,0.0,3,3.0,3,5.0,2.0,0.670320046036,0.0
"(13, 1)",15.0,3,3.0,0,0.0,4,5.0,2.0,0.670320046036,1.0
"(13, 2)",15.0,3,4.0,0,0.0,4,5.0,2.0,0.670320046036,1.0
"(13, 4)",15.0,1,3.0,0,0.0,4,5.0,2.0,0.670320046036,1.0
"(13, 5)",15.0,3,3.0,0,0.0,4,5.0,1.0,0.818730753078,1.0
"(16, 4)",30.0,1,0.0,3,3.0,9,5.0,5.0,0.367879441171,0.0
"(16, 5)",15.0,3,3.0,0,0.0,9,5.0,1.0,0.818730753078,0.0
"(16, 6)",15.0,1,3.0,0,0.0,9,5.0,5.0,0.367879441171,0.0
"(18, 5)",15.0,3,3.0,0,0.0,10,5.0,5.0,0.367879441171,0.0
"(18, 6)",15.0,1,3.0,0,0.0,10,5.0,5.0,0.367879441171,0.0
"(20, 1)",7.5,3,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(20, 2)",7.5,3,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(20, 3)",7.5,2,3.0,0,0.0,5,5.0,3.0,0.548811636094,0.0
"(20, 4)",15.0,1,0.0,3,3.0,5,5.0,1.0,0.818730753078,0.0
"(22, 0)",25.0,1,0.0,3,5.0,4,5.0,1.0,0.818730753078,0.75
"(22, 2)",25.0,3,0.0,3,5.0,4,5.0,1.0,0.818730753078,0.75
"(22, 3)",25.0,2,0.0,3,5.0,4,5.0,1.0,0.818730753078,0.75
"(22, 5)",25.0,3,5.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(22, 6)",25.0,1,5.0,0,0.0,4,5.0,2.0,0.670320046036,0.0
"(26, 1)",30.0,3,0.0,3,3.0,7,5.0,4.0,0.449328964117,0.0
"(26, 5)",15.0,3,3.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(26, 6)",15.0,1,3.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(28, 1)",0.0,3,0.0,3,3.0,4,4.0,1.0,0.818730753078,0.0
"(28, 3)",18.0,2,1.0,3,4.0,4,4.0,1.0,0.818730753078,0.75
"(28, 4)",18.0,1,1.0,3,2.0,4,4.0,1.0,0.818730753078,0.75
"(28, 5)",0.0,3,0.0,3,3.0,4,4.0,2.0,0.670320046036,0.0
"(28, 6)",18.0,1,4.0,0,0.0,4,4.0,1.0,0.818730753078,0.75
"(29, 1)",0.0,3,0.0,3,3.0,7,4.0,1.0,0.818730753078,0.0
"(29, 3)",18.0,2,2.0,0,0.0,7,4.0,4.0,0.449328964117,0.75
"(29, 4)",18.0,1,3.0,0,0.0,7,4.0,4.0,0.449328964117,0.75
"(29, 6)",18.0,1,3.0,0,0.0,7,4.0,1.0,0.818730753078,0.75
"(31, 1)",0.0,3,0.0,3,3.0,7,3.0,4.0,0.449328964117,0.0
"(31, 3)",21.0,2,3.0,0,0.0,7,3.0,1.0,0.818730753078,0.75
"(31, 4)",21.0,1,3.0,0,0.0,7,3.0,1.0,0.818730753078,0.75
"(31, 6)",21.0,1,1.0,0,0.0,7,3.0,1.0,0.818730753078,0.75
"(32, 3)",21.0,2,3.0,0,0.0,10,3.0,5.0,0.367879441171,0.75
"(32, 4)",21.0,1,3.0,0,0.0,10,3.0,5.0,0.367879441171,0.75
"(32, 6)",21.0,1,3.0,0,0.0,10,3.0,1.0,0.818730753078,0.75
"(36, 2)",40.0,3,0.0,3,4.0,6,5.0,1.0,0.818730753078,0.0
"(36, 4)",40.0,1,0.0,3,4.0,6,5.0,3.0,0.548811636094,0.0
"(36, 5)",20.0,3,4.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(36, 6)",20.0,1,4.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(37, 2)",40.0,3,0.0,3,4.0,7,5.0,4.0,0.449328964117,0.0
"(37, 5)",20.0,3,4.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(37, 6)",20.0,1,4.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(38, 5)",20.0,3,4.0,0,0.0,10,5.0,5.0,0.367879441171,0.0
"(38, 6)",20.0,1,4.0,0,0.0,10,5.0,5.0,0.367879441171,0.0
"(43, 2)",30.0,3,0.0,3,3.0,5,5.0,1.0,0.818730753078,0.0
"(43, 3)",30.0,2,0.0,3,3.0,5,5.0,1.0,0.818730753078,0.0
"(43, 5)",15.0,3,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(43, 6)",15.0,1,3.0,0,0.0,5,5.0,3.0,0.548811636094,0.0
"(47, 3)",21.0,2,2.0,0,0.0,7,3.0,4.0,0.449328964117,0.75
"(47, 4)",21.0,1,2.0,3,1.0,7,3.0,1.0,0.818730753078,0.75
"(47, 5)",0.0,3,0.0,3,3.0,7,3.0,1.0,0.818730753078,0.0
"(47, 6)",21.0,1,3.0,0,0.0,7,3.0,1.0,0.818730753078,0.75
"(51, 1)",7.5,3,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(51, 2)",7.5,3,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(51, 3)",7.5,2,3.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(53, 0)",5.0,1,0.0,3,3.0,3,4.0,1.0,0.818730753078,0.75
"(53, 1)",0.0,3,0.0,3,3.0,3,4.0,1.0,0.818730753078,0.0
"(53, 2)",5.0,3,0.0,3,3.0,3,4.0,1.0,0.818730753078,0.75
"(53, 4)",3.0,1,1.0,3,2.0,3,4.0,2.0,0.670320046036,0.75
"(53, 6)",3.0,1,1.0,3,2.0,3,4.0,1.0,0.818730753078,0.75
"(54, 0)",1.66666666667,1,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.75
"(54, 1)",1.66666666667,3,2.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(54, 2)",3.33333333333,3,0.0,3,2.0,4,5.0,2.0,0.670320046036,0.75
