,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1
"(0, 0)",1,5.0,1,6.0,1,0.0,0.818730753078,0.818730753078,0.0
"(0, 1)",1,5.0,3,6.0,3,0.0,0.818730753078,0.818730753078,3.0
"(0, 5)",1,5.0,3,6.0,3,0.0,0.818730753078,0.818730753078,3.0
"(0, 6)",1,22.5,1,6.0,1,0.0,0.818730753078,0.818730753078,3.0
"(1, 1)",1,2.5,3,6.0,4,0.0,0.818730753078,0.818730753078,3.0
"(1, 2)",1,2.5,3,6.0,4,0.0,0.818730753078,0.818730753078,3.0
"(1, 3)",1,32.5,2,6.0,3,0.0,0.818730753078,0.818730753078,3.0
"(1, 5)",1,2.5,3,6.0,4,0.0,0.818730753078,0.818730753078,3.0
"(1, 6)",1,32.5,1,6.0,2,0.0,0.818730753078,0.818730753078,3.0
"(2, 1)",1,0.0,3,3.0,7,1.0,0.818730753078,0.670320046036,0.0
"(2, 3)",1,27.0,2,3.0,6,1.0,0.818730753078,0.670320046036,3.0
"(2, 4)",1,27.0,1,3.0,5,1.0,0.818730753078,0.818730753078,3.0
"(2, 5)",1,0.0,3,3.0,7,1.0,0.818730753078,0.670320046036,0.0
"(2, 6)",1,27.0,1,3.0,5,1.0,0.818730753078,0.818730753078,3.0
"(4, 1)",1,0.0,3,3.0,10,1.0,0.818730753078,0.670320046036,0.0
"(4, 3)",1,27.0,2,3.0,9,1.0,0.818730753078,0.670320046036,3.0
"(4, 4)",1,27.0,1,3.0,8,1.0,0.818730753078,0.670320046036,3.0
"(4, 6)",1,27.0,1,3.0,8,1.0,0.670320046036,0.670320046036,3.0
"(6, 0)",1,0.0,1,3.0,4,3.0,0.818730753078,0.818730753078,0.0
"(6, 2)",1,0.0,3,3.0,6,3.0,0.818730753078,0.670320046036,0.0
"(6, 4)",1,21.0,1,3.0,4,3.0,0.818730753078,0.818730753078,3.0
"(6, 5)",1,0.0,3,3.0,6,3.0,0.818730753078,0.670320046036,0.0
"(6, 6)",1,21.0,1,3.0,4,3.0,0.818730753078,0.818730753078,3.0
"(7, 2)",1,0.0,3,3.0,7,3.0,0.818730753078,0.670320046036,0.0
"(7, 3)",1,21.0,2,3.0,6,3.0,0.818730753078,0.670320046036,3.0
"(7, 4)",1,21.0,1,3.0,5,3.0,0.818730753078,0.818730753078,3.0
"(7, 5)",1,0.0,3,3.0,7,3.0,0.818730753078,0.670320046036,0.0
"(7, 6)",1,21.0,1,3.0,5,3.0,0.818730753078,0.818730753078,3.0
"(8, 2)",1,30.0,3,3.0,9,5.0,0.818730753078,0.670320046036,0.0
"(8, 4)",1,30.0,1,3.0,7,5.0,0.818730753078,0.670320046036,0.0
"(8, 5)",1,15.0,3,3.0,9,5.0,0.670320046036,0.670320046036,0.0
"(8, 6)",1,15.0,1,3.0,7,5.0,0.818730753078,0.670320046036,0.0
"(10, 1)",1,0.0,3,3.0,7,2.0,0.818730753078,0.670320046036,0.0
"(10, 2)",1,0.0,3,3.0,7,2.0,0.818730753078,0.670320046036,0.0
"(10, 3)",1,16.5,2,3.0,6,2.0,0.818730753078,0.670320046036,3.0
"(10, 4)",1,16.5,1,3.0,5,2.0,0.818730753078,0.818730753078,3.0
"(10, 6)",1,16.5,1,3.0,5,2.0,0.818730753078,0.818730753078,3.0
"(12, 1)",1,10.5,3,3.0,6,4.0,0.818730753078,0.670320046036,3.0
"(12, 2)",1,10.5,3,3.0,6,4.0,0.818730753078,0.670320046036,3.0
"(12, 4)",1,10.5,1,3.0,4,4.0,0.818730753078,0.818730753078,3.0
"(12, 5)",1,3.0,3,3.0,6,4.0,0.818730753078,0.670320046036,3.0
"(12, 6)",1,7.5,1,3.0,4,4.0,0.818730753078,0.818730753078,0.0
"(13, 1)",1,18.0,3,3.0,7,4.0,0.818730753078,0.670320046036,3.0
"(13, 2)",1,18.0,3,3.0,7,4.0,0.818730753078,0.670320046036,3.0
"(13, 4)",1,18.0,1,3.0,5,4.0,0.818730753078,0.818730753078,3.0
"(13, 5)",1,18.0,3,3.0,7,4.0,0.818730753078,0.670320046036,3.0
"(16, 3)",1,27.0,2,3.0,12,1.0,0.670320046036,0.548811636094,3.0
"(16, 4)",1,27.0,1,3.0,11,1.0,0.670320046036,0.548811636094,3.0
"(16, 6)",1,27.0,1,3.0,11,1.0,0.670320046036,0.548811636094,3.0
"(21, 0)",1,10.0,1,2.0,5,5.0,0.818730753078,0.818730753078,0.0
