,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(0, 0)",15.0,0.5,0.0,6,6.0,0.0,0.0,1.0,0.818730753078,0.75
"(0, 1)",10.0,1.5,5.0,3,3.0,0.0,0.0,2.0,0.670320046036,1.0
"(0, 5)",10.0,3.0,4.0,3,3.0,0.0,0.0,3.0,0.548811636094,1.0
"(0, 6)",22.5,1.0,3.0,3,3.0,0.0,0.0,1.0,0.818730753078,0.75
"(1, 1)",5.0,1.5,4.0,3,3.0,0.5,0.0,2.0,0.670320046036,1.0
"(1, 2)",5.0,4.0,1.0,3,3.0,0.5,0.0,5.0,0.367879441171,1.0
"(1, 3)",57.5,0.5,5.0,3,3.0,0.5,0.0,1.0,0.818730753078,0.75
"(1, 5)",5.0,3.0,3.0,3,3.0,0.5,0.0,4.0,0.449328964117,1.0
"(1, 6)",57.5,1.0,4.0,3,3.0,0.5,0.0,2.0,0.670320046036,0.75
"(2, 1)",0.0,1.5,0.0,3,3.0,4.5,1.0,6.0,0.301194211912,0.0
"(2, 3)",39.0,0.5,3.0,0,0.0,4.5,1.0,5.0,0.367879441171,0.75
"(2, 4)",39.0,1.0,4.0,0,0.0,4.5,1.0,6.0,0.301194211912,0.75
"(2, 5)",0.0,3.0,0.0,3,3.0,4.5,1.0,8.0,0.201896517995,0.0
"(2, 6)",39.0,1.0,3.0,0,0.0,4.5,1.0,6.0,0.301194211912,0.75
"(4, 1)",0.0,1.5,0.0,3,3.0,7.5,1.0,9.0,0.165298888222,0.0
"(4, 3)",54.0,0.5,5.0,0,0.0,7.5,1.0,8.0,0.201896517995,0.75
"(4, 4)",54.0,1.0,3.0,0,0.0,7.5,1.0,9.0,0.165298888222,0.75
"(4, 6)",54.0,1.0,4.0,0,0.0,7.5,1.0,9.0,0.165298888222,0.75
"(6, 0)",0.0,0.5,0.0,3,3.0,1.5,5.0,2.0,0.670320046036,0.75
"(6, 2)",0.0,4.0,0.0,3,3.0,1.5,5.0,6.0,0.301194211912,0.75
"(6, 4)",15.0,1.0,0.0,3,1.0,1.5,5.0,3.0,0.548811636094,0.75
"(6, 5)",0.0,3.0,0.0,3,3.0,1.5,5.0,5.0,0.367879441171,0.0
"(6, 6)",15.0,1.0,4.0,0,0.0,1.5,5.0,3.0,0.548811636094,0.75
"(7, 2)",0.0,4.0,0.0,3,3.0,2.0,5.0,6.0,0.301194211912,0.0
"(7, 3)",15.0,0.5,0.0,3,2.0,2.0,5.0,3.0,0.548811636094,0.75
"(7, 4)",15.0,1.0,0.0,3,1.0,2.0,5.0,3.0,0.548811636094,0.75
"(7, 5)",0.0,3.0,0.0,3,3.0,2.0,5.0,5.0,0.367879441171,0.0
"(7, 6)",15.0,1.0,3.0,0,0.0,2.0,5.0,3.0,0.548811636094,0.75
"(8, 2)",20.0,4.0,0.0,3,2.0,2.5,5.0,7.0,0.246596963942,0.0
"(8, 4)",20.0,1.0,0.0,3,2.0,2.5,5.0,4.0,0.449328964117,0.0
"(8, 5)",10.0,3.0,2.0,0,0.0,2.5,5.0,6.0,0.301194211912,0.0
"(8, 6)",10.0,1.0,2.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(10, 1)",0.0,1.5,0.0,3,3.0,3.5,3.0,5.0,0.367879441171,0.0
"(10, 2)",0.0,4.0,0.0,3,3.0,3.5,3.0,8.0,0.201896517995,0.0
"(10, 3)",36.0,0.5,4.0,0,0.0,3.5,3.0,4.0,0.449328964117,0.75
"(10, 4)",36.0,1.0,2.0,3,1.0,3.5,3.0,5.0,0.367879441171,0.75
"(10, 6)",36.0,1.0,2.0,0,0.0,3.5,3.0,5.0,0.367879441171,0.75
"(12, 1)",7.5,1.5,0.0,3,1.0,1.0,5.0,3.0,0.548811636094,1.0
"(12, 2)",7.5,4.0,0.0,3,3.0,1.0,5.0,5.0,0.367879441171,1.0
"(12, 4)",7.5,1.0,0.0,3,3.0,1.0,5.0,2.0,0.670320046036,1.0
"(12, 5)",0.0,3.0,1.0,0,0.0,1.0,5.0,4.0,0.449328964117,1.0
"(12, 6)",7.5,1.0,0.0,3,3.0,1.0,5.0,2.0,0.670320046036,0.0
"(13, 1)",15.0,1.5,2.0,0,0.0,2.0,5.0,4.0,0.449328964117,1.0
"(13, 2)",15.0,4.0,4.0,0,0.0,2.0,5.0,6.0,0.301194211912,1.0
"(13, 4)",15.0,1.0,4.0,0,0.0,2.0,5.0,3.0,0.548811636094,1.0
"(13, 5)",15.0,3.0,1.0,0,0.0,2.0,5.0,5.0,0.367879441171,1.0
"(16, 3)",54.0,0.5,2.0,0,0.0,9.0,1.0,10.0,0.135335283237,0.75
"(16, 4)",54.0,1.0,2.0,0,0.0,9.0,1.0,10.0,0.135335283237,0.75
"(16, 6)",54.0,1.0,4.0,0,0.0,9.0,1.0,10.0,0.135335283237,0.75
"(21, 0)",5.0,0.5,0.0,3,1.0,2.5,5.0,3.0,0.548811636094,0.75
"(21, 2)",10.0,4.0,0.0,3,1.0,3.5,5.0,8.0,0.201896517995,0.0
"(21, 3)",5.0,0.5,0.0,3,1.0,2.5,5.0,3.0,0.548811636094,0.75
"(21, 5)",5.0,3.0,1.0,0,0.0,3.5,5.0,7.0,0.246596963942,0.0
"(21, 6)",5.0,1.0,1.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(24, 3)",39.0,0.5,4.0,0,0.0,6.0,1.0,7.0,0.246596963942,0.75
"(24, 4)",39.0,1.0,1.0,0,0.0,6.0,1.0,7.0,0.246596963942,0.75
"(24, 5)",0.0,3.0,0.0,3,3.0,6.0,1.0,9.0,0.165298888222,0.0
"(24, 6)",39.0,1.0,5.0,0,0.0,6.0,1.0,7.0,0.246596963942,0.75
"(26, 1)",0.0,1.5,0.0,3,3.0,4.5,2.0,6.0,0.301194211912,0.0
"(26, 3)",33.0,0.5,3.0,3,2.0,4.5,2.0,5.0,0.367879441171,0.75
"(26, 4)",33.0,1.0,3.0,3,1.0,4.5,2.0,6.0,0.301194211912,0.75
"(26, 5)",0.0,3.0,0.0,3,3.0,4.5,2.0,8.0,0.201896517995,0.0
"(26, 6)",33.0,1.0,2.0,0,0.0,4.5,2.0,6.0,0.301194211912,0.75
"(27, 1)",0.0,1.5,0.0,3,3.0,7.5,2.0,9.0,0.165298888222,0.0
"(27, 3)",48.0,0.5,3.0,0,0.0,7.5,2.0,8.0,0.201896517995,0.75
"(27, 4)",48.0,1.0,2.0,0,0.0,7.5,2.0,9.0,0.165298888222,0.75
"(27, 6)",48.0,1.0,3.0,0,0.0,7.5,2.0,9.0,0.165298888222,0.75
"(29, 0)",10.0,0.5,0.0,3,2.0,2.5,5.0,3.0,0.548811636094,0.75
"(29, 2)",20.0,4.0,0.0,3,2.0,3.5,5.0,8.0,0.201896517995,0.0
"(29, 3)",10.0,0.5,0.0,3,2.0,2.5,5.0,3.0,0.548811636094,0.75
"(29, 5)",10.0,3.0,2.0,0,0.0,3.5,5.0,7.0,0.246596963942,0.0
"(29, 6)",10.0,1.0,2.0,0,0.0,3.5,5.0,5.0,0.367879441171,0.0
"(35, 3)",48.0,0.5,3.0,0,0.0,9.0,2.0,10.0,0.135335283237,0.75
"(35, 4)",48.0,1.0,4.0,0,0.0,9.0,2.0,10.0,0.135335283237,0.75
"(35, 6)",48.0,1.0,4.0,0,0.0,9.0,2.0,10.0,0.135335283237,0.75
"(37, 2)",10.0,4.0,0.0,3,1.0,2.5,5.0,7.0,0.246596963942,0.0
"(37, 4)",10.0,1.0,0.0,3,1.0,2.5,5.0,4.0,0.449328964117,0.0
"(37, 5)",5.0,3.0,1.0,0,0.0,2.5,5.0,6.0,0.301194211912,0.0
"(37, 6)",5.0,1.0,1.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(38, 4)",10.0,1.0,0.0,3,1.0,6.5,5.0,8.0,0.201896517995,0.0
"(38, 5)",5.0,3.0,1.0,0,0.0,6.5,5.0,10.0,0.135335283237,0.0
"(38, 6)",5.0,1.0,1.0,0,0.0,6.5,5.0,8.0,0.201896517995,0.0
"(41, 0)",10.0,0.5,0.0,3,1.0,6.5,5.0,7.0,0.246596963942,0.0
"(41, 3)",10.0,0.5,0.0,3,1.0,6.5,5.0,7.0,0.246596963942,0.0
"(41, 5)",5.0,3.0,1.0,0,0.0,7.5,5.0,11.0,0.110803158362,0.0
"(41, 6)",5.0,1.0,1.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.0
"(45, 0)",10.0,0.5,1.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(45, 1)",10.0,1.5,1.0,0,0.0,4.5,5.0,6.0,0.301194211912,0.0
