,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1
"(0, 0)",1,15.0,0.5,6.0,0.5,0.0,0.818730753078,0.818730753078,9.66666666667,5.5,3.75,0.0
"(0, 1)",1,10.0,1.5,6.0,1.5,0.0,0.818730753078,0.670320046036,4.33333333333,8.0,33.75,3.0
"(0, 5)",1,10.0,3.0,6.0,3.0,0.0,0.818730753078,0.548811636094,2.66666666667,8.0,33.75,3.0
"(0, 6)",1,22.5,1.0,6.0,1.0,0.0,0.818730753078,0.818730753078,9.66666666667,5.5,15.0,3.0
"(1, 1)",1,5.0,1.5,6.0,2.0,0.0,0.818730753078,0.670320046036,3.66666666667,5.5,30.0,3.0
"(1, 2)",1,5.0,4.0,6.0,4.5,0.0,0.818730753078,0.367879441171,3.66666666667,5.5,30.0,3.0
"(1, 3)",1,57.5,0.5,6.0,1.0,0.0,0.818730753078,0.818730753078,9.33333333333,5.5,30.0,3.0
"(1, 5)",1,5.0,3.0,6.0,3.5,0.0,0.818730753078,0.449328964117,2.33333333333,5.5,30.0,3.0
"(1, 6)",1,57.5,1.0,6.0,1.5,0.0,0.818730753078,0.670320046036,8.0,5.5,30.0,3.0
"(2, 1)",1,0.0,1.5,3.0,6.0,3.0,0.818730753078,0.301194211912,4.0,4.0,0.0,0.0
"(2, 3)",1,27.0,0.5,3.0,5.0,3.0,0.367879441171,0.367879441171,6.33333333333,4.0,21.0,3.0
"(2, 4)",1,27.0,1.0,3.0,5.5,3.0,0.818730753078,0.301194211912,6.33333333333,4.0,21.0,3.0
"(2, 5)",1,0.0,3.0,3.0,7.5,3.0,0.818730753078,0.201896517995,3.0,4.0,0.0,0.0
"(2, 6)",1,27.0,1.0,3.0,5.5,3.0,0.818730753078,0.301194211912,5.33333333333,4.0,21.0,3.0
"(3, 1)",1,20.0,1.5,2.0,6.5,5.0,0.818730753078,0.246596963942,2.0,2.0,20.0,0.0
"(3, 4)",1,20.0,1.0,2.0,6.0,5.0,0.818730753078,0.301194211912,2.0,2.0,20.0,0.0
"(3, 5)",1,10.0,3.0,2.0,8.0,5.0,0.367879441171,0.201896517995,2.0,2.0,10.0,0.0
"(3, 6)",1,10.0,1.0,2.0,6.0,5.0,0.818730753078,0.301194211912,2.0,2.0,10.0,0.0
"(6, 0)",1,4.5,0.5,3.0,2.0,2.0,0.670320046036,0.670320046036,8.0,5.5,0.0,0.0
"(6, 2)",1,4.5,4.0,3.0,5.5,2.0,0.818730753078,0.301194211912,8.0,5.5,0.0,0.0
"(6, 4)",1,19.5,1.0,3.0,2.5,2.0,0.818730753078,0.548811636094,8.33333333333,7.0,24.0,3.0
"(6, 5)",1,0.0,3.0,3.0,4.5,2.0,0.818730753078,0.367879441171,3.5,5.5,0.0,0.0
"(6, 6)",1,19.5,1.0,3.0,2.5,2.0,0.818730753078,0.548811636094,6.83333333333,5.5,24.0,3.0
"(7, 2)",1,0.0,4.0,3.0,6.0,2.0,0.818730753078,0.301194211912,4.0,4.0,0.0,0.0
"(7, 3)",1,33.0,0.5,3.0,2.5,2.0,0.670320046036,0.548811636094,6.33333333333,4.0,24.0,3.0
"(7, 4)",1,33.0,1.0,3.0,3.0,2.0,0.670320046036,0.548811636094,6.33333333333,4.0,24.0,3.0
"(7, 5)",1,0.0,3.0,3.0,5.0,2.0,0.818730753078,0.367879441171,3.0,4.0,0.0,0.0
"(7, 6)",1,33.0,1.0,3.0,3.0,2.0,0.670320046036,0.548811636094,5.33333333333,4.0,24.0,3.0
