s,a,probability,reward,s_prime
0.0,0.0,1.0,0.0,1.0
0.0,1.0,0.4,201.096013811,624.0
0.0,1.0,0.1,67.0320046036,792.0
0.0,1.0,0.2,268.128018414,739.0
0.0,1.0,0.2,134.064009207,420.0
0.0,1.0,0.1,335.160023018,6.0
0.0,5.0,0.1,274.405818047,424.0
0.0,5.0,0.2,109.762327219,784.0
0.0,5.0,0.4,164.643490828,355.0
0.0,5.0,0.2,219.524654438,285.0
0.0,5.0,0.1,54.8811636094,789.0
0.0,6.0,0.1,81.8730753078,280.0
0.0,6.0,0.2,327.492301231,105.0
0.0,6.0,0.2,163.746150616,404.0
0.0,6.0,0.4,245.619225923,62.0
0.0,6.0,0.1,409.365376539,564.0
1.0,1.0,0.4,201.096013811,555.0
1.0,1.0,0.2,134.064009207,443.0
1.0,1.0,0.1,67.0320046036,532.0
1.0,1.0,0.2,268.128018414,398.0
1.0,1.0,0.1,335.160023018,7.0
1.0,2.0,0.1,36.7879441171,2.0
1.0,2.0,0.2,147.151776469,418.0
1.0,2.0,0.2,73.5758882343,26.0
1.0,2.0,0.1,183.939720586,138.0
1.0,2.0,0.4,110.363832351,47.0
1.0,3.0,0.4,245.619225923,196.0
1.0,3.0,0.1,409.365376539,12.0
1.0,3.0,0.2,163.746150616,252.0
1.0,3.0,0.2,327.492301231,693.0
1.0,3.0,0.1,81.8730753078,529.0
1.0,5.0,0.1,224.664482059,428.0
1.0,5.0,0.4,134.798689235,10.0
1.0,5.0,0.2,179.731585647,164.0
1.0,5.0,0.1,44.9328964117,722.0
1.0,5.0,0.2,89.8657928234,550.0
1.0,6.0,0.4,201.096013811,88.0
1.0,6.0,0.2,268.128018414,65.0
1.0,6.0,0.2,134.064009207,445.0
1.0,6.0,0.1,335.160023018,566.0
1.0,6.0,0.1,67.0320046036,281.0
2.0,1.0,1.0,0.0,24.0
2.0,3.0,0.1,147.151776469,57.0
2.0,3.0,0.4,110.363832351,3.0
2.0,3.0,0.2,147.151776469,132.0
2.0,3.0,0.1,36.7879441171,86.0
2.0,3.0,0.2,73.5758882343,473.0
2.0,4.0,0.2,60.2388423824,240.0
2.0,4.0,0.1,30.1194211912,857.0
2.0,4.0,0.2,120.477684765,98.0
2.0,4.0,0.1,120.477684765,229.0
2.0,4.0,0.4,90.3582635737,621.0
2.0,5.0,1.0,0.0,4.0
2.0,6.0,0.1,30.1194211912,619.0
2.0,6.0,0.2,60.2388423824,793.0
2.0,6.0,0.4,90.3582635737,187.0
2.0,6.0,0.2,120.477684765,782.0
2.0,6.0,0.1,150.597105956,254.0
515.0,0.0,1.0,54.1341132946,518.0
515.0,1.0,1.0,44.3212633449,516.0
4.0,1.0,1.0,0.0,16.0
4.0,3.0,0.4,60.5689553984,168.0
4.0,3.0,0.1,20.1896517995,650.0
4.0,3.0,0.2,40.3793035989,531.0
4.0,3.0,0.2,80.7586071979,28.0
4.0,3.0,0.1,100.948258997,167.0
4.0,4.0,0.1,16.5298888222,776.0
4.0,4.0,0.4,49.5896664665,49.0
4.0,4.0,0.2,66.1195552886,147.0
4.0,4.0,0.2,33.0597776443,333.0
4.0,4.0,0.1,82.6494441108,46.0
4.0,6.0,0.4,49.5896664665,345.0
4.0,6.0,0.2,33.0597776443,143.0
4.0,6.0,0.2,66.1195552886,5.0
4.0,6.0,0.1,82.6494441108,110.0
4.0,6.0,0.1,16.5298888222,729.0
