s,a,probability,reward,s_prime
0.0,0.0,1.0,0.0,1.0
0.0,1.0,0.1,67.0320046036,192.0
0.0,1.0,0.4,201.096013811,457.0
0.0,1.0,0.2,268.128018414,290.0
0.0,1.0,0.1,335.160023018,578.0
0.0,1.0,0.2,134.064009207,6.0
0.0,5.0,0.2,109.762327219,712.0
0.0,5.0,0.2,219.524654438,793.0
0.0,5.0,0.1,274.405818047,754.0
0.0,5.0,0.1,54.8811636094,468.0
0.0,5.0,0.4,164.643490828,46.0
0.0,6.0,0.4,245.619225923,96.0
0.0,6.0,0.2,163.746150616,120.0
0.0,6.0,0.1,409.365376539,415.0
0.0,6.0,0.2,327.492301231,132.0
0.0,6.0,0.1,81.8730753078,816.0
1.0,1.0,0.1,67.0320046036,204.0
1.0,1.0,0.2,268.128018414,314.0
1.0,1.0,0.2,134.064009207,7.0
1.0,1.0,0.1,335.160023018,404.0
1.0,1.0,0.4,201.096013811,575.0
1.0,2.0,0.1,183.939720586,474.0
1.0,2.0,0.2,147.151776469,153.0
1.0,2.0,0.4,110.363832351,2.0
1.0,2.0,0.2,73.5758882343,322.0
1.0,2.0,0.1,36.7879441171,848.0
1.0,3.0,0.1,409.365376539,612.0
1.0,3.0,0.4,245.619225923,651.0
1.0,3.0,0.2,327.492301231,12.0
1.0,3.0,0.2,163.746150616,397.0
1.0,3.0,0.1,81.8730753078,726.0
1.0,5.0,0.1,44.9328964117,520.0
1.0,5.0,0.1,224.664482059,465.0
1.0,5.0,0.2,179.731585647,10.0
1.0,5.0,0.4,134.798689235,275.0
1.0,5.0,0.2,89.8657928234,713.0
1.0,6.0,0.2,134.064009207,121.0
1.0,6.0,0.2,268.128018414,258.0
1.0,6.0,0.1,335.160023018,179.0
1.0,6.0,0.4,201.096013811,106.0
1.0,6.0,0.1,67.0320046036,735.0
2.0,1.0,1.0,0.0,223.0
2.0,3.0,0.4,73.5758882343,26.0
2.0,3.0,0.2,73.5758882343,3.0
2.0,3.0,0.1,73.5758882343,310.0
2.0,3.0,0.2,73.5758882343,398.0
2.0,3.0,0.1,36.7879441171,679.0
2.0,4.0,0.4,60.2388423824,88.0
2.0,4.0,0.1,60.2388423824,504.0
2.0,4.0,0.2,60.2388423824,67.0
2.0,4.0,0.2,60.2388423824,728.0
2.0,4.0,0.1,30.1194211912,526.0
2.0,5.0,1.0,0.0,43.0
2.0,6.0,0.2,120.477684765,425.0
2.0,6.0,0.4,90.3582635737,667.0
2.0,6.0,0.1,30.1194211912,724.0
2.0,6.0,0.2,60.2388423824,5.0
2.0,6.0,0.1,150.597105956,277.0
3.0,1.0,1.0,0.0,16.0
3.0,4.0,1.0,0.0,33.0
3.0,5.0,1.0,40.3793035989,4.0
3.0,6.0,1.0,60.2388423824,203.0
854.0,2.0,1.0,0.0,696.0
854.0,4.0,1.0,0.0,808.0
854.0,5.0,1.0,150.597105956,659.0
854.0,6.0,1.0,224.664482059,527.0
6.0,0.0,1.0,0.0,7.0
6.0,2.0,1.0,0.0,80.0
6.0,4.0,0.2,164.643490828,267.0
6.0,4.0,0.2,109.762327219,193.0
6.0,4.0,0.1,54.8811636094,610.0
6.0,4.0,0.1,164.643490828,319.0
6.0,4.0,0.4,164.643490828,23.0
6.0,5.0,1.0,0.0,30.0
6.0,6.0,0.4,164.643490828,97.0
6.0,6.0,0.1,274.405818047,14.0
6.0,6.0,0.1,54.8811636094,37.0
6.0,6.0,0.2,109.762327219,358.0
6.0,6.0,0.2,219.524654438,177.0
7.0,2.0,1.0,0.0,60.0
7.0,3.0,0.2,164.643490828,8.0
7.0,3.0,0.1,54.8811636094,432.0
7.0,3.0,0.1,164.643490828,650.0
7.0,3.0,0.4,164.643490828,36.0
7.0,3.0,0.2,109.762327219,446.0
7.0,4.0,0.1,164.643490828,320.0
7.0,4.0,0.4,164.643490828,630.0
7.0,4.0,0.2,109.762327219,157.0
7.0,4.0,0.2,164.643490828,478.0
7.0,4.0,0.1,54.8811636094,205.0
7.0,5.0,1.0,0.0,104.0
7.0,6.0,0.1,54.8811636094,748.0
7.0,6.0,0.2,109.762327219,330.0
7.0,6.0,0.4,164.643490828,52.0
7.0,6.0,0.2,219.524654438,93.0
7.0,6.0,0.1,274.405818047,830.0
8.0,2.0,1.0,0.0,27.0
8.0,4.0,1.0,0.0,267.0
8.0,5.0,1.0,30.1194211912,9.0
8.0,6.0,1.0,44.9328964117,22.0
600.0,2.0,1.0,0.0,599.0
600.0,4.0,1.0,0.0,559.0
600.0,5.0,1.0,120.477684765,609.0
600.0,6.0,1.0,179.731585647,453.0
10.0,1.0,1.0,0.0,54.0
10.0,2.0,1.0,0.0,42.0
10.0,3.0,0.1,224.664482059,772.0
10.0,3.0,0.2,89.8657928234,11.0
10.0,3.0,0.4,134.798689235,84.0
10.0,3.0,0.1,44.9328964117,763.0
10.0,3.0,0.2,179.731585647,483.0
10.0,4.0,0.2,36.7879441171,164.0
10.0,4.0,0.1,36.7879441171,266.0
10.0,4.0,0.1,36.7879441171,603.0
10.0,4.0,0.4,36.7879441171,156.0
10.0,4.0,0.2,36.7879441171,490.0
10.0,6.0,0.2,36.7879441171,137.0
10.0,6.0,0.1,36.7879441171,665.0
10.0,6.0,0.2,36.7879441171,20.0
10.0,6.0,0.1,36.7879441171,477.0
10.0,6.0,0.4,36.7879441171,39.0
12.0,1.0,0.1,54.8811636094,36.0
12.0,1.0,0.1,54.8811636094,538.0
12.0,1.0,0.2,54.8811636094,284.0
12.0,1.0,0.2,54.8811636094,445.0
12.0,1.0,0.4,54.8811636094,270.0
12.0,2.0,0.1,36.7879441171,616.0
12.0,2.0,0.2,36.7879441171,571.0
12.0,2.0,0.2,36.7879441171,460.0
12.0,2.0,0.4,36.7879441171,725.0
12.0,2.0,0.1,36.7879441171,398.0
12.0,4.0,0.4,67.0320046036,498.0
12.0,4.0,0.2,67.0320046036,375.0
12.0,4.0,0.2,67.0320046036,655.0
12.0,4.0,0.1,67.0320046036,643.0
12.0,4.0,0.1,67.0320046036,327.0
12.0,5.0,0.2,89.8657928234,224.0
12.0,5.0,0.1,44.9328964117,664.0
12.0,5.0,0.2,179.731585647,483.0
12.0,5.0,0.1,224.664482059,76.0
12.0,5.0,0.4,134.798689235,15.0
12.0,6.0,1.0,0.0,13.0
13.0,1.0,0.1,224.664482059,416.0
13.0,1.0,0.2,179.731585647,25.0
13.0,1.0,0.2,89.8657928234,299.0
13.0,1.0,0.4,134.798689235,14.0
13.0,1.0,0.1,44.9328964117,161.0
13.0,2.0,0.2,120.477684765,433.0
13.0,2.0,0.4,90.3582635737,155.0
13.0,2.0,0.1,150.597105956,636.0
13.0,2.0,0.2,60.2388423824,163.0
13.0,2.0,0.1,30.1194211912,359.0
13.0,4.0,0.2,109.762327219,265.0
13.0,4.0,0.1,54.8811636094,307.0
13.0,4.0,0.2,219.524654438,236.0
13.0,4.0,0.1,274.405818047,45.0
13.0,4.0,0.4,164.643490828,111.0
13.0,5.0,0.1,183.939720586,577.0
13.0,5.0,0.4,110.363832351,83.0
13.0,5.0,0.2,147.151776469,172.0
13.0,5.0,0.2,73.5758882343,21.0
