"(0, 'debris')","[1, 3, 3, 2, 1, 3, 1]"
"(0, 'demand')","[0.0, 0.0, 3.0, 3.0, 0.0]"
"(0, 'period')",1
"(0, 'resource')",0
"(0, 'supply')","[5, 0, 0, 0, 5]"
"(1, 'debris')","[0, 3, 3, 2, 1, 3, 1]"
"(1, 'demand')","[0.0, 0.0, 3.0, 3.0, 0.0]"
"(1, 'period')",1.0
"(1, 'resource')",1
"(1, 'supply')","[5, 0, 0, 0, 5]"
"(2, 'debris')","[0, 3, 0, 2, 1, 3, 1]"
"(2, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(2, 'period')",1.0
"(2, 'resource')",4
"(2, 'supply')","[4.0, 0, 0, 0, 5]"
"(3, 'debris')","[0, 3, 0, 0, 1, 3, 1]"
"(3, 'demand')","[0.0, 0.0, 0.0, 0.0, 0.0]"
"(3, 'period')",2.0
"(3, 'resource')",6
"(3, 'supply')","[0.0, 0, 0, 0, 5]"
"(4, 'debris')","[0, 3, 0, 2, 1, 0, 1]"
"(4, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(4, 'period')",2.0
"(4, 'resource')",7
"(4, 'supply')","[9.0, 0, 0, 0, 0]"
"(5, 'debris')","[0, 3, 0, 2, 1, 0, 0]"
"(5, 'demand')","[0.0, 0.0, 0.0, 0.0, 0.0]"
"(5, 'period')",2.0
"(5, 'resource')",8
"(5, 'supply')","[5.0, 0, 0, 0, 0]"
"(6, 'debris')","[1, 0, 3, 2, 1, 3, 1]"
"(6, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(6, 'period')",1.0
"(6, 'resource')",3
"(6, 'supply')","[2.0, 0, 0, 0, 5]"
"(7, 'debris')","[0, 0, 3, 2, 1, 3, 1]"
"(7, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(7, 'period')",1.0
"(7, 'resource')",4
"(7, 'supply')","[2.0, 0, 0, 0, 5]"
"(8, 'debris')","[0, 0, 3, 0, 1, 3, 1]"
"(8, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(8, 'period')",2.0
"(8, 'resource')",6
"(8, 'supply')","[0.0, 0, 0, 0, 5]"
"(9, 'debris')","[0, 0, 3, 0, 1, 0, 1]"
"(9, 'demand')","[0.0, 0.0, 0.0, 0.0, 0.0]"
"(9, 'period')",2.0
"(9, 'resource')",9
"(9, 'supply')","[0.0, 0, 0, 0, 2.0]"
"(10, 'debris')","[0, 3, 3, 2, 1, 0, 1]"
"(10, 'demand')","[0.0, 0.0, 0.0, 3.0, 0.0]"
"(10, 'period')",1.0
"(10, 'resource')",4
"(10, 'supply')","[5, 0, 0, 0, 3.0]"
"(11, 'debris')","[0, 3, 3, 0, 1, 0, 1]"
"(11, 'demand')","[0.0, 0.0, 0.0, 0.0, 0.0]"
"(11, 'period')",2.0
"(11, 'resource')",6
