Unnamed: 0,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand.1,period,exponential period,degree,period_nonlinear,actual first rem,Qval
"(0, 0)",15.0,0.5,0.0,6,6.0,0.0,0.0,1.0,0.818730753078,0.75,0.818730753078,6.0,431.769705311
"(0, 1)",10.0,1.5,5.0,3,3.0,0.0,0.0,2.0,0.670320046036,1.0,0.670320046036,8.0,372.08482229300006
"(0, 5)",10.0,3.0,4.0,3,3.0,0.0,0.0,3.0,0.548811636094,1.0,0.548811636094,7.0,299.44218006299997
"(0, 6)",22.5,1.0,3.0,3,3.0,0.0,0.0,1.0,0.818730753078,0.75,0.818730753078,6.0,439.13988400900001
"(1, 1)",5.0,1.5,4.0,3,3.0,0.5,0.0,2.0,0.670320046036,1.0,0.670320046036,7.0,366.48694360500002
"(1, 2)",5.0,4.0,1.0,3,3.0,0.5,0.0,5.0,0.367879441171,1.0,0.367879441171,4.0,213.34133948299998
"(1, 3)",57.5,0.5,5.0,3,3.0,0.5,0.0,1.0,0.818730753078,0.75,0.818730753078,8.0,431.769705311
"(1, 5)",5.0,3.0,3.0,3,3.0,0.5,0.0,4.0,0.449328964117,1.0,0.449328964117,6.0,269.59737847000002
"(1, 6)",57.5,1.0,4.0,3,3.0,0.5,0.0,2.0,0.670320046036,0.75,0.670320046036,7.0,386.79097695900003
"(2, 1)",0.0,1.5,0.0,3,3.0,4.5,1.0,6.0,0.301194211912,0.0,0.301194211912,3.0,73.979089182500005
"(2, 3)",39.0,0.5,3.0,0,0.0,4.5,1.0,5.0,0.367879441171,0.75,0.367879441171,3.0,109.696980059
"(2, 4)",39.0,1.0,4.0,0,0.0,4.5,1.0,6.0,0.301194211912,0.75,0.301194211912,4.0,89.812291094000003
"(2, 5)",0.0,3.0,0.0,3,3.0,4.5,1.0,8.0,0.201896517995,0.0,0.201896517995,3.0,60.5689553984
"(2, 6)",39.0,1.0,3.0,0,0.0,4.5,1.0,6.0,0.301194211912,0.75,0.301194211912,3.0,90.358263573700015
"(4, 1)",0.0,1.5,0.0,3,3.0,7.5,1.0,9.0,0.165298888222,0.0,0.165298888222,3.0,40.600584970999996
