Unnamed: 0,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1,Qval
"(0, 0)",1,5.0,1,6.0,1,0.0,0.818730753078,0.818730753078,0.0,491.23845184699996
"(0, 1)",1,5.0,3,6.0,3,0.0,0.818730753078,0.818730753078,3.0,491.23845184699996
"(0, 5)",1,5.0,3,6.0,3,0.0,0.818730753078,0.818730753078,3.0,472.98393488099998
"(0, 6)",1,22.5,1,6.0,1,0.0,0.818730753078,0.818730753078,3.0,491.23845184699996
"(1, 1)",1,2.5,3,6.0,4,0.0,0.818730753078,0.818730753078,3.0,491.23845184699996
"(1, 2)",1,2.5,3,6.0,4,0.0,0.818730753078,0.818730753078,3.0,491.09004113999998
"(1, 3)",1,32.5,2,6.0,3,0.0,0.818730753078,0.818730753078,3.0,491.23845184699996
"(1, 5)",1,2.5,3,6.0,4,0.0,0.818730753078,0.818730753078,3.0,472.98393488099998
"(1, 6)",1,32.5,1,6.0,2,0.0,0.818730753078,0.818730753078,3.0,491.23845184699996
"(2, 1)",1,0.0,3,3.0,7,1.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(2, 3)",1,27.0,2,3.0,6,1.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(2, 4)",1,27.0,1,3.0,5,1.0,0.818730753078,0.818730753078,3.0,244.13511885299999
"(2, 5)",1,0.0,3,3.0,7,1.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(2, 6)",1,27.0,1,3.0,5,1.0,0.818730753078,0.818730753078,3.0,237.431918392
"(4, 1)",1,0.0,3,3.0,10,1.0,0.818730753078,0.670320046036,0.0,164.64349082799998
"(4, 3)",1,27.0,2,3.0,9,1.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(4, 4)",1,27.0,1,3.0,8,1.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(4, 6)",1,27.0,1,3.0,8,1.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(6, 0)",1,0.0,1,3.0,4,3.0,0.818730753078,0.818730753078,0.0,245.61922592299999
"(6, 2)",1,0.0,3,3.0,6,3.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(6, 4)",1,21.0,1,3.0,4,3.0,0.818730753078,0.818730753078,3.0,245.61922592400001
"(6, 5)",1,0.0,3,3.0,6,3.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(6, 6)",1,21.0,1,3.0,4,3.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(7, 2)",1,0.0,3,3.0,7,3.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(7, 3)",1,21.0,2,3.0,6,3.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(7, 4)",1,21.0,1,3.0,5,3.0,0.818730753078,0.818730753078,3.0,229.29404814900002
"(7, 5)",1,0.0,3,3.0,7,3.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(7, 6)",1,21.0,1,3.0,5,3.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(8, 2)",1,30.0,3,3.0,9,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(8, 4)",1,30.0,1,3.0,7,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(8, 5)",1,15.0,3,3.0,9,5.0,0.670320046036,0.670320046036,0.0,201.09601381099998
"(8, 6)",1,15.0,1,3.0,7,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(10, 1)",1,0.0,3,3.0,7,2.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(10, 2)",1,0.0,3,3.0,7,2.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(10, 3)",1,16.5,2,3.0,6,2.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(10, 4)",1,16.5,1,3.0,5,2.0,0.818730753078,0.818730753078,3.0,239.682797642
"(10, 6)",1,16.5,1,3.0,5,2.0,0.818730753078,0.818730753078,3.0,239.682797642
"(12, 1)",1,10.5,3,3.0,6,4.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(12, 2)",1,10.5,3,3.0,6,4.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(12, 4)",1,10.5,1,3.0,4,4.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(12, 5)",1,3.0,3,3.0,6,4.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(12, 6)",1,7.5,1,3.0,4,4.0,0.818730753078,0.818730753078,0.0,245.61922592299999
"(13, 1)",1,18.0,3,3.0,7,4.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(13, 2)",1,18.0,3,3.0,7,4.0,0.818730753078,0.670320046036,3.0,201.09601381099998
