Unnamed: 0,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1,Qval
"(0, 0)",1,4.16666666667,4.0,6.0,4.0,0.0,0.818730753078,0.449328964117,3.53492063492,9.05555555556,10.0,0.0,164.337352756
"(0, 1)",1,5.83333333333,1.0,6.0,1.0,0.0,0.818730753078,0.818730753078,4.03412698413,9.05555555556,10.0,0.0,164.337352756
"(1, 1)",1,0.0,1.0,6.0,5.0,0.0,0.449328964117,0.367879441171,6.375,9.66666666667,0.0,0.0,134.548044581
"(1, 2)",1,0.0,3.0,6.0,7.0,0.0,0.449328964117,0.246596963942,6.41666666667,7.33333333333,7.5,0.0,110.158621865
"(1, 3)",1,30.0,1.0,6.0,5.0,0.0,0.818730753078,0.367879441171,13.0833333333,11.8333333333,22.5,0.0,164.337352756
"(2, 2)",1,0.0,3.0,6.0,8.0,0.0,0.367879441171,0.201896517995,2.33333333333,7.5,7.5,0.0,90.190251437499995
"(2, 3)",1,30.0,1.0,6.0,6.0,0.0,0.367879441171,0.301194211912,7.16666666667,9.0,15.0,0.0,134.548044581
"(2, 7)",1,0.0,4.0,6.0,9.0,0.0,0.818730753078,0.165298888222,2.16666666667,7.5,7.5,0.0,73.841532479700007
"(2, 8)",1,30.0,4.0,6.0,9.0,0.0,0.367879441171,0.165298888222,7.16666666667,9.0,15.0,0.0,73.841532479700007
"(3, 2)",1,0.0,3.0,6.0,12.0,0.0,0.165298888222,0.0907179532894,3.0,8.0,0.0,0.0,40.525092251899999
"(3, 3)",1,0.0,1.0,6.0,10.0,0.0,0.165298888222,0.135335283237,4.0,12.0,0.0,0.0,60.456333495500004
"(3, 7)",1,0.0,4.0,6.0,13.0,0.0,0.165298888222,0.0742735782143,3.0,8.0,0.0,0.0,33.179139298000003
"(3, 9)",1,30.0,1.0,6.0,10.0,0.0,0.818730753078,0.135335283237,9.13333333333,9.5,30.0,3.0,73.841532479700007
"(3, 10)",1,30.0,1.0,6.0,10.0,0.0,0.165298888222,0.135335283237,9.13333333333,9.5,30.0,0.0,73.841532479700007
"(4, 2)",1,0.0,3.0,3.0,13.0,3.0,0.135335283237,0.0742735782143,6.13333333333,7.0,0.0,0.0,18.243018787600001
"(4, 3)",1,0.0,1.0,3.0,11.0,3.0,0.818730753078,0.110803158362,10.2666666667,10.0,0.0,0.0,27.215385986799998
"(4, 7)",1,0.0,4.0,3.0,14.0,3.0,0.818730753078,0.0608100626252,6.13333333333,6.0,0.0,0.0,14.9361205104
"(4, 9)",1,42.0,1.0,3.0,11.0,3.0,0.818730753078,0.110803158362,10.2666666667,7.0,21.0,3.0,33.240947508699996
"(4, 11)",1,42.0,1.0,3.0,11.0,3.0,0.818730753078,0.110803158362,10.2666666667,7.0,21.0,3.0,33.240947508699996
"(4, 13)",1,42.0,0.5,3.0,10.5,3.0,0.818730753078,0.110803158362,10.2666666667,7.0,21.0,0.0,33.240947508699996
"(4, 14)",1,0.0,1.0,3.0,11.0,3.0,0.135335283237,0.110803158362,6.13333333333,6.0,0.0,0.0,27.215385986799998
"(5, 2)",1,0.0,3.0,3.0,14.0,3.0,0.818730753078,0.0608100626252,3.0,4.0,0.0,0.0,14.9361205104
"(5, 3)",1,0.0,1.0,3.0,12.0,3.0,0.818730753078,0.0907179532894,4.0,4.0,0.0,0.0,22.282073464299998
"(5, 7)",1,0.0,4.0,3.0,15.0,3.0,0.110803158362,0.0497870683679,4.0,4.0,0.0,0.0,12.228661193499999
"(5, 9)",1,42.0,1.0,3.0,12.0,3.0,0.818730753078,0.0907179532894,6.33333333333,4.0,21.0,3.0,27.215385986799998
"(5, 11)",1,42.0,1.0,3.0,12.0,3.0,0.818730753078,0.0907179532894,6.33333333333,4.0,21.0,3.0,27.215385986799998
"(5, 13)",1,42.0,0.5,3.0,11.5,3.0,0.818730753078,0.0907179532894,6.33333333333,4.0,21.0,0.0,27.215385986799998
"(6, 2)",1,0.0,3.0,3.0,18.0,3.0,0.818730753078,0.0273237224473,3.0,4.0,0.0,0.0,6.7112315568499996
"(6, 3)",1,0.0,1.0,3.0,16.0,3.0,0.0497870683679,0.0407622039784,4.0,4.0,0.0,0.0,10.011980988099999
"(6, 9)",1,42.0,1.0,3.0,16.0,3.0,0.0497870683679,0.0407622039784,6.33333333333,4.0,21.0,3.0,12.228661193499999
